id,0,5,11,13,14
## Translators
#5  RusTranslation: Tommy-XL
#13 SChinese: fivefirex&ZeMingOH233 New Roles: 2T&MC-AS-Huier&xiaojin (Edit: Tanakanira)
#14 TChinese: NetherDragon_Tw (Edit: Soukunsandesu)
#?  German: DenKar

## 役職
Neutral,Neutral and Coven,Нейтрал и Ковен,第三陣営,中立阵营(包括巫师),中立陣營,Neutrale und Zirkel
PsychicInfo,Use the intel to save the crew!,Используйте информацию чтобы спасти Членов Экипажа!,Psychic,利用获得的情报来拯救船员!,Psychic,Nutze die Infos um die Besatzung zu retten
AlturistInfo,Sacrifice your Own Life to Save Another,Пожертвуйте своей Жизнью чтобы возродить игрока,Alturist,牺牲自己救他一命,Opfer dein Leben um ein anderes zu retten
MediumInfo,Find out what killed who,Узнай что кого убило,Medium,查明真相找出凶手,Finde heraus was wen getötet hat
BastionInfo,Blow up Venters,Взорви Вентующихся,Bastion,把所有的通风口全部炸掉吧.,Jage die Luftschächte in die Luft
DemolitionistInfo,Blow up the Killer,Взорви Убийцу,Demolitionist,炸死杀害你的凶手,Jage deinen Killer in die Luft
CrewmateGhostInfo,Spectate the fellow hiders and Seeker,Наблюдайте за другими прячущимися и за искателем,CrewmateGhost,观察躲藏者与抓捕者的位置,Beobachte die anderen Sucher und Verstecker

# 第三陣営役職
ArsonistInfo,Douse and ignite to kill everyone,Пусть они сгорят,燃やせ,火焰给我燃烧起来吧！,"燒吧,燒吧,燃燒吧",Überschüte und verbenne sie alle
JesterInfo,Get voted out,Быть изгнаным,追放されよう,想办法让人怀疑把你投出去,想個辦法讓你被投出去,Werde rausgeschmissen
PhantomInfo,Complete your tasks to win!,Выполните все задания чтобы выиграть!,Phantom,完成你的任务就能获胜!,Beende deine Aufgaben um zu gewinnen
OpportunistInfo,Do what it takes to be Alive,Останьтесь в живых,とにかく生き残りましょう,苟且偷生,做點什麼事來讓你存活,Tu alles um zu überleben
HitmanInfo,A hired killer who wins with All,Убийца который побеждает с любой командой,HitmanInfo,帮助其他阵营杀死全部人,Ein Auftragsmörder der mit allen gewinnt
SchrodingerCatInfo,Side with your enemies,Дайте убить себя и присоединитесь к команде убийц,殺された陣営に所属しろ,加入击杀你的阵营,打不過就加入,Stell dich auf die Seite deiner Gegner
CSchrodingerCatInfo,You are now on Team Crewmates,Теперь вы на стороне Членов экипажа,クルーメイトの味方になった,你加入了船员阵营，要帮助船员找出伪装者,"你現在變成船員了,幫助船員們找出狼和中立帶刀者",Du bist nun im Besatzungsteam
MSchrodingerCatInfo,You are now on Team Impostors,Теперь вы на стороне Предателей,インポスターの味方になった,你加入了伪装者阵营，要掩护伪装者同伴,"你現在變成狼人了,但是你不能砍人,盡量掩護你的隊友的身分",Du bist nun im Verräterteam
EgoSchrodingerCatInfo,You are now on Team Egoists,Теперь вы на стороне Egoists,エゴイストの味方になった,你成为了野心家的伙伴,"你是利己主義者的跟班",Du bist nun im Egoistenteam
JSchrodingerCatInfo,I sided with Serial Killer as Sidekick,Я стал союзником Jackal как Sidekick,ジャッカルの味方になった,你是豺狼的跟班，努力帮助他,"你是豺狼的跟班,盡量幫助他",Du bist nun im SerienKillerteam
BKSchrodingerCatInfo,You joined the Blood Knight,Теперь вы на стороне Blood Knight,シュレディンガーの猫,你加入了嗜血骑士阵营，你得到了力量,薛定諤的貓,Du bist nun im Bluttritterteam
CPSchrodingerCatInfo,You sided with a CrewPostor,Теперь вы на стороне CrewPostor,シュレディンガーの猫,你现在与舰长是同伴了，为舰长做掩护,薛定諤的貓,Du bist nun im CrewPosterteam
JugSchrodingerCatInfo,You joined the Juggernaut,Теперь вы на стороне Juggernaut,シュレディンガーの猫,你加入了欲望杀手阵营，你变的充满了欲望,薛定諤的貓,Du bist nun im Juggernautteam
MMSchrodingerCatInfo,You aided the Marksman,Теперь вы на стороне Marksman,シュレディンガーの猫,你现在是神射手的跟班，努力帮助他,薛定諤的貓,Du bist nun im Schützenteam
PesSchrodingerCatInfo,"You sided with a Killing Machince, the Pestilence",Теперь вы на стороне Pestilence,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Du bist nun im Pestteam
WWSchrodingerCatInfo,You assisted in the Werewolf's Wrath,Теперь вы на стороне Werewolf,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Du bist nun im Werwolfteam
TGSchrodingerCatInfo,"TaskText.SetInfo(You assisted The Glitch.)",Теперь вы на стороне The Glitch,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Du bist nun im Glitchteam
TerroristInfo,Die after finishing your tasks,Умрите после выполнения своих заданий,タスクを済ませ、自爆しよう,都别想活着，和我一起同归于尽！,"一個一個來,都別想給我活!",Sterbe nachdem du deine Aufgaben erledigt hast
ExecutionerInfo,Get your target voted out,Дайте заголосовать свою цель,ターゲットを追放させよう,不惜一切代价把你的目标票出去！,"想出一切辦法來投出你的目標",Exekutiere dein Ziel
SwapperInfo,Vote out your random target each meeting,Заголосуйте случайную цель на каждой встрече,SwapperInfo,在每次会议中投票你需要票出的随机目标,Schmeiß ein ein zufälliges Ziel jede Runde raus
EgoistInfo,Replace the Impostor win,Замените победу Предателей,インポスター勝利を独占しよう,我们要把属于伪装者的胜利给夺走！,讓我們來奪取狼人的勝利,Ersetze die Verräter und gewwinne
LoversInfo,Survive with your lover,Выживите со своим Любовником,恋人と生きて幸せを掴もう,你坠入了爱河，成为了一对恋人，一起活到最后吧！,你墜入了愛河(心理),Überlebe mit deinem Liebhaber
LoversRecodeInfo,Survive with your lover,Выживите со своим Любовником,恋人と生きて幸せを掴もう,你坠入了爱河，成为了一对恋人，一起活到最后吧！,你墜入了愛河(心理),Überlebe mit deinem Liebhaber
JackalInfo,Kill Everyone and Last Alone,Убейте Всех чтобы остаться одним,すべてを殺せ,快去杀光所有人，一只苍蝇都不要剩下！,殺光所有人不留活口,Töte Alle und überlebe
SidekickInfo,Support the Serial Killer,Помогите Jackal,帮助豺狼干掉所有人,Unterstütze den SerienKiller
AgiTaterInfo,Pass a Bomb onto others,Передайте бомбу другому игроку,AgiTaterInfo,把炸弹传给别人,Reich die Bombe herum
NeutWitchInfo,Witch crewmates and Live to see them Lose,"Члены экипажа Ведьмы, увидьте как они проигрывают",NeutWitchInfo,看着船员们失败,NeutWitchInfo,Verhexe die Besatzung und lass sie Verlieren
PostmanInfo,Deliver messages to other players,Доставьте сообщение другим игрокам,PostmanInfo,向其他玩家传递消息,PostmanInfo,Trage die Post aus
PlagueBearerInfo,Infect Everyone and Become Pestilence,Заразите всех и станьте Pestilence,Infect Everyone and Become Pestilence,把所有人都感染，引起大型瘟疫,快去把所有人都感染,Stecka alle an und werde zur Pest
PestilenceInfo,Kill Everyone and Leave None,Убей Всех и не Оставь Никого,Kill Everyone and Leave None,杀死所有的人,殺光所有人,Töte alle und lass niemanden am Leben
JuggernautInfo,Your cooldown decreaes with Each Kill,Время Отката Убийства Уменьшается с Каждым Убийством,Your cooldown decreaes with Each Kill,你杀的人越多就会越兴奋，击杀冷却时间也会越短,殺人會讓擊殺冷卻時間縮短,Dein KillCooldown veringert sich mit jedem Mord
MarksmanInfo,You can Kill Farther with Each Kill,Вы можете увеличить дальность убийства с каждым убийством,MarksmanInfo,射击成功的次数越多，射击距离越远,Die Enfernung deines Mordes erhöht sich mit jedem Mord
VultureInfo,Eat bodies by clicking Report,Ешьте трупы нажав на Report,Eat bodies by clicking Report,通过报告键来吞噬尸体,通過點擊報告來吃屍體,Esse Körper durch melden
WerewolfInfo,Rampage to Kill Everyone,Активируйте Ярость Чтобы Убить Всех,Rampage to Kill Everyone,狂暴地杀死所有人,Laufe Amok
TheGlitchInfo,foreach PlayerControl Glitch.MurderPlayer,Заблокируйте других Членов Экипажа и Убейте Всех,foreach PlayerControl Glitch.MurderPlayer,操控其他船员杀死所有人,foreach PlayerControl Glitch.MurderPlayer
GuardianAngelTOUInfo,Protect your Target from Attacks,Защитите свою Цель от Атак,Protect your Target from Attacks,保护你的目标免受攻击,Beschütz dein Ziel vor Attacken
AmnesiacInfo,Report a body to Steal a Role,Зарепортите труп чтобы украсть его роль,AmnesiacInfo,报告可以窃取尸体的职业,Melde einen Mord um die Rolle zu stehlen
HackerInfo,Fix all the Issues,Исправьте все Саботажи,Hacker,解决所有问题,Repariere alle Probleme
BloodKnightInfo,Each kill strengths You for a Bit,Каждое убийство немного укрепляет тебя,BloodKnight,每一次杀戮都会给你带来一点力量,Jeder Kill stärkt dich ein wenig
PirateInfo,Successfully plunder people to Win,Успешно угадайте роли игроков чтобы победить,推測して打ち抜け,成功地猜测其他人的身份以获得胜利,猜測和射擊,Plünder die Spieler um zu gewinnen
SurvivorInfo,Do what it takes to Survive,Сделайте все возможное чтобы выжить,Survivor,为了生存而努力!,Survivor,Mache alles um zu überleben

# Coven 
CovenInfo,Support your Leader,Поддержите своего Лидера,Support your Leader,支援你的领袖,支持你的領袖,Unterstütze den Zirkelanführer
PoisonerInfo,Poison a crewmate to kill them in a few seconds,Отравить Члена Экипажа чтобы убить его за несколько секунд,PoisonerInfo,给船员们下毒，你让他们慢慢死亡,Vergifte ein Besatzungsmitglied um ihn mit verzögerung zu töten
CovenWitchInfo,Taglock players to kill others,Заблокируйте Игроков чтобы они убивали других,WitchInfo,操控其他船员杀人,Zwinge Spieler andere zu töten
HexMasterInfo,Hex everyone to then kill them all with a Hex Bomb,Прокляните всех чтобы затем убить их всех с помощью шестигранной бомбыHex,MasterInfo,给每个玩家设下法术，用法术将他们击杀,Verhexe alle Spieler um sie mit der Hex-Bombe zu töten 
PotionMasterInfo,Use your potions and kill everyone.,Используй свои зелья и убей всех,Potion MasterInfo,使用你的药水杀死所有人,Nutze deine Tränke und töte alle
MedusaInfo,Stone gaze to kill anyone who interacts with you,Убейте любого кто взаимодействует с вами,MedusaInfo,石化对方并杀死,Verwandel alle in Stein die mit dir interagieren
MimicInfo,Mimic an unused Impostor role,Имитировать неиспользованную роль самозванца,MimicInfo,模仿成场上没有的伪装者职业,Nutze eine unbenutze Verräter Rolle
NecromancerInfo,Become a killing role from outside the Coven,Станьте убийственной ролью из пределов Ковена,NecromancerInfo,模仿除巫师团外的带刀职业,Werde ein Killer ausserhalb des Zirkels
ConjurorInfo,Place acid traps to kill the next player that enters it,Ставьте кислотные ловушки чтобы убить игрока который войдет в него,ConjurorInfo,变出陷阱来让碰触它的玩家死亡,Platziere Säurefallen um den nächste spieler zu töten der sie betriit

# Modifiers
FlashInfo,SUPERSPEED!!!,Вы теперь быстрый,Flash,超级加速！！！,SUPERSPEED
TieBreakerInfo,Your vote breaks Ties,Ваш голос прерывает ничью,TieBreaker,你的投票打破了平衡,Deine Stimme zählt mehr bei Gleichstand
DiseasedInfo,Killing you will grant the killer an increased cooldown,Когда вас убьют то убийца получит удвоенное время отката убийства,Diseased,被击杀时，会增加凶手的技能冷却时间,Wenn du ermordet wirst erhöhst du den CD deines Mörders
ObviousInfo,You report bodies when in range of them,Вы репортите трупы когда находитесь в его зоне досягаемости,Obvious,当尸体在你附近时，自动报告。,Du meldest Körper automatisch
ObliviousInfo,You cannot report Bodies,Вы не можете репортить трупы,Oblivious,你不能报告尸体,Du kannst Körper nicht melden
BewilderInfo,Let the Killer steal your Vision,Позвольте Убийце украсть ваш обзор зрения,Bewilder,被击杀时，会感染凶手的视野,Dein Mörder hat eine verringerte Sicht
TorchInfo,Lights do not affect your Vision,Вы игнорируете саботаж света,Torch,熄灯不会破坏你的视野,Lichter haben kein Effekt auf dich
EscalationInfo,Each kill that happens fastens you,Каждое убийство которое происходит привязывает вас,Escalation,每当有人死亡，移动速度会增加,Escalation,Jeder Mord erhöht dein Tempo
DoubleShotInfo,You have a Second Chance to Guess,DoubleShot,DoubleShot,DoubleShot,DoubleShot,Du hast ein zweite chance zu raten
NoSubRoleAssignedInfo,"You currently have no modifier. This is due to a bug or your lover leaving.","В настоящее время у вас нет модификатора. Это связано с ошибкой или уходом вашего любовника.","You currently have no modifier. This is due a bug or your lover leaving.","你没有附加职业，这个问题可能是你的恋人退出了游戏。", "Du hast im moment keinen Modifikator.Entweder weil dein Liebhaber weg ist oder wegen eines Bugs" 

# HideAndSeek
HASFoxInfo,Stay alive,Останьтесь в живых,とにかく生き残りましょう,活下去吧！活到最后你就成为了赢家！,活到最後就是屬於你和贏家的一片天,Überlebe
